0	Person=0
1	Person=1
2	Person=2
3	Person=3
4	Person=4
AB	Degree=Abs
ABL	Case=Abl
ABS	Case=Abs
ACC	Case=Acc
ACT	Voice=Act
ADJ	ADJ
ADM	Mood=Adm
ADP	ADP
ADV	ADV
ALL	Case=All
ANIM	Animacy=Anim
ANTIP	Voice=Antip
ART	DET#PronType=Art
AT+ABL	Case=Abl
AT+ALL	Case=All
AT+ESS	Case=Ess
AUX	AUX
BANTU1	NounClass=Bantu1
BANTU2	NounClass=Bantu2
BANTU3	NounClass=Bantu3
BANTU4	NounClass=Bantu4
BANTU5	NounClass=Bantu5
BANTU6	NounClass=Bantu6
BANTU7	NounClass=Bantu7
BANTU8	NounClass=Bantu8
BANTU9	NounClass=Bantu9
BANTU10	NounClass=Bantu10
BANTU11	NounClass=Bantu11
BANTU12	NounClass=Bantu12
BANTU13	NounClass=Bantu13
BANTU14	NounClass=Bantu14
BANTU15	NounClass=Bantu15
BANTU16	NounClass=Bantu16
BANTU17	NounClass=Bantu17
BANTU18	NounClass=Bantu18
BANTU19	NounClass=Bantu19
BANTU20	NounClass=Bantu20
BANTU21	NounClass=Bantu21
BANTU22	NounClass=Bantu22
BANTU23	NounClass=Bantu23
BEN	Case=Ben
CAUS	Voice=Cau
CMPR	Degree=Cmp
COM	Case=Com
COMPV	Case=Cmp
COND	Mood=Cnd
CONJ	CCONJ/SCONJ
DAT	Case=Dat
DEF	Definite=Def
Definite=Ind	Case=Ade
DET	DET
DIR	Voice=Dir
DIST	Case=Dis
DU	Number=Dual
ELEV	Polite=Elev
EQT	Degree=Equ
EQTV	Case=Equ
ERG	Case=Erg
ESS	Case=Loc
FEM	Gender=Fem
FH	Evident=Fh
FIN	VerbForm=Fin
FORM	Polite=Form
FRML	Case=Ess
FUT	Tense=Fut
GEN	Case=Gen
GRPA	Number=Grpa
GRPL	Number=Grpl
HAB	Aspect=Hab
HUM	Animacy=Hum
HUMB	Polite=Humb
IMP	Mood=Imp/Jus
IN+ABL	Case=Ela
IN+ALL	Case=Ill
IN+ALL;LGSPEC1	Case=Add
IN+ESS	Case=Ine
INAN	Animacy=Inan
IND	Mood=Ind
INDF	Definite=Ind
INFM	Polite=Infm
INS	Case=Ins
INTJ	INTJ
INV	Voice=Inv
INVN	Number=Inv
IPFV	Aspect=Imp
IPFV	Tense=Imp
ITER	Aspect=Iter
LGSPEC1	VerbForm=Short
LGSPEC2	_
LGSPEC3	_
LGSPEC4	_
LGSPEC5	_
LGSPEC6	_
LGSPEC7	_
LOC	Case=Loc
MASC	Gender=Masc
MASC+FEM	Gender=Com
MID	Voice=Mid
N	NOUN
NEG	Polarity=Neg
NEUT	Gender=Neut
NFH	Evident=Nfh
NFIN	VerbForm=Inf
NHUM	Animacy=Nhum
NOM	Case=Nom
NUM	NUM
ON+ALL	Case=Sub
ON+ESS	Case=Sup
OPT	Mood=Opt
PART	PART
PASS	Voice=Pass
PAUC	Number=Pauc
PFV	Aspect=Perf
PL	Number=Plur
POS	Polarity=Pos
POT	Mood=Pot
PRF	Aspect=Perf
PRIV	Case=Abe
PRO	PRON
PROG	Aspect=Prog
PROPN	PROPN
PROSP	Aspect=Prosp
PRS	Tense=Pres
PRT	Case=Par
PSS1P	Person[psor]=1#Number[psor]=Plur
PSS2P	Person[psor]=2#Number[psor]=Plur
PSS3P	Person[psor]=3#Number[psor]=Plur
PSS1S	Person[psor]=1#Number[psor]=Sing
PSS2S	Person[psor]=2#Number[psor]=Sing
PSS3S	Person[psor]=3#Number[psor]=Sing
PSS2SF	Person[psor]=2#Number[psor]=Sing#Gender[psor]=Fem
PSS2SM	Person[psor]=2#Number[psor]=Sing#Gender[psor]=Masc
PSS3SF	Person[psor]=3#Number[psor]=Sing#Gender[psor]=Fem
PSS3SM	Person[psor]=3#Number[psor]=Sing#Gender[psor]=Masc
PSS1	Person[psor]=1
PSS2	Person[psor]=2
PSS3	Person[psor]=3
PSSS	Number[psor]=Sing
PSSP	Number[psor]=Plur
PSSD	Definite=Cons
PST	Tense=Past
PST+PRF	Tense=Pqp
PURP	Mood=Prp
QUOT	Mood=Qot
REAL	_
RECP	Voice=Rcp
REFL	Reflex=Yes
RL	Degree=Sup
SBJV	Mood=Sub
SG	Number=Sing
SPEC	Definite=Spec
SPRL	Degree=Sup
STAT	_	Aktionsart=Stat
TRANS	Case=Tra
TRI	Number=Tri
V	VERB
V.CVB	VERB#VerbForm=Conv
V.CVB	VERB#VerbForm=Gdv
V.CVB	VERB#VerbForm=Sup
V.MSDR	VERB#VerbForm=Ger
V.MSDR	VERB#VerbForm=Vnoun
V.PTCP	VERB#VerbForm=Part
VOC	Case=Voc
